Title,Year,ISSN,DOI,Link,Telecom Category,Conceptualization,,,,,Data Handling,,,Model Development / Evaluation,,,,,,,,,Model Deployment,Publication,,,,Score
DRL-Based Resource Allocation and Trajectory Planning for NOMA-Enabled Multi-UAV Collaborative Caching 6G Network,2024,189545,10.1109/TVT.2024.3357086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183993740&doi=10.1109%2fTVT.2024.3357086&partnerID=40&md5=6c251da7aaa8ef9556f28f7b953bac95,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Edge Computation Offloading With Content Caching in 6G-Enabled IoV,2024,15249050,10.1109/TITS.2023.3239599,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148445603&doi=10.1109%2fTITS.2023.3239599&partnerID=40&md5=8cb11521086cf83e2d6c3decf427203b,Computing and Edge,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Partial,Partial,Yes,Yes,No,No,No,No,No,No,No,
Real-Time Bayesian Neural Networks for 6G Cooperative Positioning and Tracking,2024,7338716,10.1109/JSAC.2024.3413950,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202193372&doi=10.1109%2fJSAC.2024.3413950&partnerID=40&md5=9764fcd569ddcb179094f0b256cdc90d,User Mobility and Positioning,Yes,Yes,No,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No,
Network-Aided Intelligent Traffic Steering in 6G O-RAN: A Multi-Layer Optimization Framework,2024,7338716,10.1109/JSAC.2023.3336183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179063499&doi=10.1109%2fJSAC.2023.3336183&partnerID=40&md5=03ddce5c7e2ea5f69fa348df724df896,Resource and Traffic Management,Yes,Yes,No,Yes,Partial,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,No,Partial,No,No,No,No,
Intelligible Protocol Learning for Resource Allocation in 6G O-RAN Slicing,2024,15361284,10.1109/MWC.015.2300552,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204314315&doi=10.1109%2fMWC.015.2300552&partnerID=40&md5=56c5d58f81f89287926043add3eb6cba,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,Partial,No,Yes,Yes,Yes,Yes,No,No,No,No,Partial,No,No,No,No,
AI-Driven Integration of Sensing and Communication in the 6G Era,2024,8908044,10.1109/MNET.2023.3326064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176340079&doi=10.1109%2fMNET.2023.3326064&partnerID=40&md5=f7780ba9cd08de136d72621acc6cfa28,Channel and Physical Layer,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,Partial,No,No,No,No,
Efficient Dynamic Distributed Resource Slicing in 6G Multi-Access Edge Computing Networks With Online ADMM and Message Passing Graph Neural Networks,2024,15361233,10.1109/TMC.2023.3262514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151489034&doi=10.1109%2fTMC.2023.3262514&partnerID=40&md5=d0887c290fad85edd09950a4beff25ee,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,No,No,No,No,Yes,Partial,No,No,No,No,
Dynamic Neural Network-Based Resource Management for Mobile Edge Computing in 6G Networks,2024,23327731,10.1109/TCCN.2023.3346824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181554394&doi=10.1109%2fTCCN.2023.3346824&partnerID=40&md5=5507039175841c7f86a1c3cb4fff6042,Computing and Edge,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,No,Partial,No,No,No,No,
"Intelligent Network Slicing for B5G and 6G: Resource Allocation, Service Provisioning, and Security",2024,15361284,10.1109/MWC.021.2200589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196671509&doi=10.1109%2fMWC.021.2200589&partnerID=40&md5=f6641d6fe53dde33942fa2f04416e8db,Network Slicing and Management,Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No,
An Intelligent Scheme for Energy-Efficient Uplink Resource Allocation with QoS Constraints in 6G Networks,2024,19324537,10.1109/TNSM.2024.3482549,https://ieeexplore.ieee.org/document/10720852,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No,
FeDRL-D2D: Federated Deep Reinforcement Learning-Empowered Resource Allocation Scheme for Energy Efficiency Maximization in D2D-Assisted 6G Networks,2024,21693536,10.1109/ACCESS.2024.3434619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200204076&doi=10.1109%2fACCESS.2024.3434619&partnerID=40&md5=21a6ae9394dda2406ddd4d04d825e14c,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Hybrid optimization for efficient 6G IoT traffic management and multi-routing strategy,2024,20452322,10.1038/s41598-024-81709-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213509382&doi=10.1038%2fs41598-024-81709-z&partnerID=40&md5=859b9bcf72dda30ad76c96981248813b,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,
Deep Reinforcement Learning for Integrated Sensing and Communication in RIS-Assisted 6G V2X System,2024,23274662,10.1109/JIOT.2024.3449969,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202760261&doi=10.1109%2fJIOT.2024.3449969&partnerID=40&md5=113415d48459ff912b7e2419cca6cce7,User Mobility and Positioning,Yes,Yes,No,Yes,Yes,No,No,No,Partial,Yes,Yes,Partial,Partial,No,No,No,Yes,Partial,No,No,No,No,
Deep Reinforcement Learning-Based Computation Offloading for Mobile Edge Computing in 6G,2024,983063,10.1109/TCE.2024.3436824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200239722&doi=10.1109%2fTCE.2024.3436824&partnerID=40&md5=5cade9336e2a32a260298bfb122b94ff,Computing and Edge,Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,No,No,No,No,No,No,
Satellite-Based ITS Data Offloading & Computation in 6G Networks: A Cooperative Multi-Agent Proximal Policy Optimization DRL With Attention Approach,2024,15361233,10.1109/TMC.2023.3300314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166772430&doi=10.1109%2fTMC.2023.3300314&partnerID=40&md5=fbf59323130c4d3eacda5ba7ef837df7,Computing and Edge,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No,
A Multi-Level Deep RL-Based Network Slicing and Resource Management for O-RAN-Based 6G Cell-Free Networks,2024,189545,10.1109/TVT.2024.3415656,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196501905&doi=10.1109%2fTVT.2024.3415656&partnerID=40&md5=aa8a04256872f2e928be12861cc28558,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,No,Partial,No,No,No,No,
Deep-Learning-Based Resource Allocation for 6G NOMA-Assisted Backscatter Communications,2024,23274662,10.1109/JIOT.2024.3424728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197522790&doi=10.1109%2fJIOT.2024.3424728&partnerID=40&md5=10d48dd67bb00d4ecd7653c9076234a0,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,Partial,No,No,No,No,
Knowledge-Collaboration-Based Resource Allocation in 6G IoT: A Graph Attention RL Approach,2024,23274662,10.1109/JIOT.2024.3416054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196555022&doi=10.1109%2fJIOT.2024.3416054&partnerID=40&md5=63042177d7d6725c6d7bf3538edc0802,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,No,No,No,Partial,Yes,Yes,Yes,Partial,No,Yes,Yes,Yes,Yes,No,No,No,No,
Intelligent Hierarchical NOMA-Based Network Slicing in Cell-Free RAN for 6G Systems,2024,15361276,10.1109/TWC.2023.3321717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174836348&doi=10.1109%2fTWC.2023.3321717&partnerID=40&md5=0a275c2505252698a0708868c99d2efd,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No,
Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks: A Hierarchical Multi-Agent DRL Approach,2024,983063,10.1109/TCE.2024.3512581,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212054283&doi=10.1109%2fTCE.2024.3512581&partnerID=40&md5=e116aeeb8725b206d9487ea0ae8b4b72,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No,
Energy Maximization for Wireless Powered Communication Enabled IoT Devices With NOMA Underlaying Solar Powered UAV Using Federated Reinforcement Learning for 6G Networks,2024,983063,10.1109/TCE.2024.3357125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183943073&doi=10.1109%2fTCE.2024.3357125&partnerID=40&md5=6c5bdd39bca256918b0389432168839e,Energy Efficiency,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No,
Federated Deep Reinforcement Learning-Based Intelligent Surface Configuration in 6G Secure Airport Networks,2024,15249050,10.1109/TITS.2024.3463189,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207629819&doi=10.1109%2fTITS.2024.3463189&partnerID=40&md5=66b3ab2f36b2874773d03cd841fc49f6,Security and Privacy,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Toward Massive Distribution of Intelligence for 6G Network Management Using Double Deep Q-Networks,2024,19324537,10.1109/TNSM.2023.3333875,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178012137&doi=10.1109%2fTNSM.2023.3333875&partnerID=40&md5=c88fc638d92d191e83d935f585b69206,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
On Combining XAI and LLMs for Trustworthy Zero-Touch Network and Service Management in 6G,2024,1636804,10.1109/MCOM.002.2400276,https://ieeexplore.ieee.org/document/10742571,Network Slicing and Management,Yes,Yes,No,Yes,Yes,Partial,Yes,No,No,Yes,Yes,Yes,Partial,Yes,Yes,No,Yes,Yes,No,No,No,No,
Optimization for 6G Wireless Communications with Heterogeneous VR and Non-VR 360-Degree Videos: A Differentiated Reinforcement Learning Approach,2024,15361276,10.1109/TWC.2024.3409669,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197646340&doi=10.1109%2fTWC.2024.3409669&partnerID=40&md5=0d81774e9841ccc44f4f0956923b746a,Resource and Traffic Management,Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Partial,No,No,No,Yes,
Parallel Attention-Based Transformer for Channel Estimation in RIS-Aided 6G Wireless Communications,2024,189545,10.1109/TVT.2024.3425433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198298099&doi=10.1109%2fTVT.2024.3425433&partnerID=40&md5=11f0099aa22c1f293301140330720d81,Channel and Physical Layer,Yes,Yes,Partial,Yes,Yes,No,Yes,No,Partial,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,No,No,No,No,
AI-Assisted E2E Network Slicing for Integrated Sensing and Communication in 6G Networks,2024,23274662,10.1109/JIOT.2023.3326761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176288170&doi=10.1109%2fJIOT.2023.3326761&partnerID=40&md5=1380153932ecc66ca7cd0414ab031b86,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Yes,No,No,No,No,No,No,No,No,No,
Optimizing data transmission in 6G software defined networks using deep reinforcement learning for next generation of virtual environments,2024,20452322,10.1038/s41598-024-75575-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207986991&doi=10.1038%2fs41598-024-75575-y&partnerID=40&md5=7f2e25353d7422628c74528b01f4c672,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,No,No,No,No,Yes,Partial,No,No,No,No,
"Deep Learning Based Energy, Spectrum, and SINR-Margin Tradeoff Enabled Resource Allocation Strategies for 6G",2024,21693536,10.1109/ACCESS.2024.3404473,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194104059&doi=10.1109%2fACCESS.2024.3404473&partnerID=40&md5=5e938bf295098404840b0d1d5fb01c8a,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,
Federated Deep Reinforcement Learning for Open RAN Slicing in 6G Networks,2023,1636804,10.1109/MCOM.007.2200555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146237437&doi=10.1109%2fMCOM.007.2200555&partnerID=40&md5=b1aea8c1374ac2e38e66bc106e297205,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,
Machine Learning-Based Channel Quality Prediction in 6G Mobile Networks,2023,1636804,10.1109/MCOM.001.2200305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166732755&doi=10.1109%2fMCOM.001.2200305&partnerID=40&md5=3dd4eaafb79c674eaca36558f170161b,Channel and Physical Layer,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Partial,No,Partial,No,No,No,No,No,No,No,No,No,
Deep Reciprocity Calibration for TDD mmWave Massive MIMO Systems Toward 6G,2024,15361276,10.1109/TWC.2024.3400616,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194045265&doi=10.1109%2fTWC.2024.3400616&partnerID=40&md5=0ad794ccd2c3b59b6abd573846ca3d61,Channel and Physical Layer,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,Partial,No,No,No,No,
Multiagent Reinforcement Learning-Based Cooperative Multitype Task Offloading Strategy for Internet of Vehicles in B5G/6G Network,2023,23274662,10.1109/JIOT.2023.3245721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149387253&doi=10.1109%2fJIOT.2023.3245721&partnerID=40&md5=78c47391cac7c6ed5fd8ef540436b9ef,Computing and Edge,Yes,Yes,Partial,Yes,Yes,No,No,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No,
A GAN-GRU Based Space-Time Predictive Channel Model for 6G Wireless Communications,2024,189545,10.1109/TVT.2024.3367386,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187349882&doi=10.1109%2fTVT.2024.3367386&partnerID=40&md5=5d44a264d2c9f9f385a5bbf37a121c9a,Channel and Physical Layer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Partial,No,No,No,No,
CAIN: An energy-aware and intelligent increasing coverage area routing protocol for future 6G networks,2023,13891286,10.1016/j.comnet.2023.109733,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152101735&doi=10.1016%2fj.comnet.2023.109733&partnerID=40&md5=dcbda24800889aeca764f8dd46d894b6,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,Partial,No,No,No,No,
On the Specialization of FDRL Agents for Scalable and Distributed 6G RAN Slicing Orchestration,2023,189545,10.1109/TVT.2022.3218158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141636939&doi=10.1109%2fTVT.2022.3218158&partnerID=40&md5=435c2aa5324b97244c5b26aaced9bcc9,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,
Accelerating Reinforcement Learning via Predictive Policy Transfer in 6G RAN Slicing,2023,19324537,10.1109/TNSM.2023.3258692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164223042&doi=10.1109%2fTNSM.2023.3258692&partnerID=40&md5=9c7517b120ae48c91549b928c8dddb5a,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,Partial,Yes,Yes,Yes,Yes,No,No,No,No,Partial,No,No,Yes,No,
D-RAN: A DRL-Based Demand-Driven Elastic User-Centric RAN Optimization for 6G & Beyond,2023,23327731,10.1109/TCCN.2022.3217785,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141470077&doi=10.1109%2fTCCN.2022.3217785&partnerID=40&md5=1326b0a165ba5d7748c4f7e66b0e2e1b,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Yes,No,No,No,No,No,No,No,No,No,
Beyond Complexity Limits: Machine Learning for Sidelink-Assisted mmWave Multicasting in 6G,2024,189316,10.1109/TBC.2024.3382959,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192207528&doi=10.1109%2fTBC.2024.3382959&partnerID=40&md5=1d79220c88c5137d9a519dcde838bf28,Channel and Physical Layer,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,No,Yes,No,No,No,No,
Multimodal semantic communication accelerated bidirectional caching for 6G MEC,2023,0167739X,10.1016/j.future.2022.10.036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141754834&doi=10.1016%2fj.future.2022.10.036&partnerID=40&md5=c50d91b88546158c69e84c934d5bb7c4,Computing and Edge,Yes,Yes,Partial,Yes,Yes,Partial,No,No,No,Yes,Yes,Partial,Partial,No,No,No,No,No,No,No,No,No,
An Efficient 6G Federated Learning-enabled Energy-Efficient Scheme for UAV Deployment,2024,189545,10.1109/TVT.2024.3390226,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190716111&doi=10.1109%2fTVT.2024.3390226&partnerID=40&md5=1809de1e1c330f970268b79ed811835d,Energy Efficiency,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,No,No,No,No,No,No,
SliceOps: Explainable MLOps for Streamlined Automation-Native 6G Networks,2024,15361284,10.1109/MWC.007.2300144,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188739082&doi=10.1109%2fMWC.007.2300144&partnerID=40&md5=f37dba19c6fb85d55bba26581fdf5ec8,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Partial,No,No,No,No,No,Yes,No,No,No,No,
Federated Reinforcement Learning-Based Resource Allocation in D2D-Enabled 6G,2023,8908044,10.1109/MNET.122.2200102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137907608&doi=10.1109%2fMNET.122.2200102&partnerID=40&md5=e177aa7aff2736fcf5a7cd197ab62173,Resource and Traffic Management,Yes,Partial,No,No,Yes,No,No,No,No,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,No,
Multi-Agent Reinforcement Learning for Dynamic Resource Management in 6G in-X Subnetworks,2023,15361276,10.1109/TWC.2022.3207918,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139502837&doi=10.1109%2fTWC.2022.3207918&partnerID=40&md5=e9f567ae55316c9e5e0f2f150928db14,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,
Efficient resource management in 6G communication networks using hybrid quantum deep learning model,2023,457906,10.1016/j.compeleceng.2022.108565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145781455&doi=10.1016%2fj.compeleceng.2022.108565&partnerID=40&md5=f65cdd827b6993a3d1f59490c91f7fca,Resource and Traffic Management,Yes,Yes,No,Partial,Partial,No,No,No,No,Yes,Yes,Partial,Partial,No,Yes,No,No,No,No,No,No,No,
Empowering Traffic Steering in 6G Open RAN With Deep Reinforcement Learning,2024,15361276,10.1109/TWC.2024.3396273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192753399&doi=10.1109%2fTWC.2024.3396273&partnerID=40&md5=b1d60ef0f772918f4cc735dc0626b926,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,
Federated Reinforcement Learning-Based Resource Allocation for D2D-Aided Digital Twin Edge Networks in 6G Industrial IoT,2023,15513203,10.1109/TII.2022.3227655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144780262&doi=10.1109%2fTII.2022.3227655&partnerID=40&md5=aaf8e5216c6cc8d25d732e4581b3b574,Computing and Edge,Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,Partial,Partial,No,No,No,No,No,No,No,No,No,
Machine Learning-Aided Real-Time Optimized Multibeam for 6G Integrated Satellite-Terrestrial Networks: Global Coverage for Mobile Services,2023,8908044,10.1109/MNET.003.2200275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172417068&doi=10.1109%2fMNET.003.2200275&partnerID=40&md5=102af315a525ed9042a372988bf3a1b4,Channel and Physical Layer,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,No,
Resource Allocation Based on Radio Intelligence Controller for Open RAN Toward 6G,2023,21693536,10.1109/ACCESS.2023.3311888,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171526174&doi=10.1109%2fACCESS.2023.3311888&partnerID=40&md5=1cb3166cebab495cd287446f21c5bcb8,Network Slicing and Management,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No,
Load-Balanced Virtual Network Embedding Based on Deep Reinforcement Learning for 6G Regional Satellite Networks,2023,189545,10.1109/TVT.2023.3279625,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161072798&doi=10.1109%2fTVT.2023.3279625&partnerID=40&md5=e2dbeaf724221095a2c22cbbbe5cb83c,Resource and Traffic Management,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No,
6G+ Networks Through Enhanced Efficiency and Sustainability with MADDPG-Driven Network Slicing in SoS Environments,2024,24732400,10.1109/TGCN.2024.3404500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194036066&doi=10.1109%2fTGCN.2024.3404500&partnerID=40&md5=23bfc7ee94edc0c7e36c00198f4f4a59,Network Slicing and Management,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Partial,No,No,No,No,
