Title,Issn,SJR Best Quartile,Categories,Year
Nature Reviews Drug Discovery,"14741784, 14741776",Q1,Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1),2020
Annual Review of Organizational Psychology and Organizational Behavior,23270608,Q1,Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1),2020
European Urology,"18737560, 03022838",Q1,Urology (Q1),2020
Personality and Social Psychology Review,"10888683, 15327957",Q1,Social Psychology (Q1),2020
Journal of Economic Perspectives,08953309,Q1,Economics and Econometrics (Q1),2020
Neuron,"10974199, 08966273",Q1,Neuroscience (miscellaneous) (Q1),2020
Nature Electronics,25201131,Q1,"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)",2020
Genome Research,"15495469, 10889051",Q1,Genetics (Q1); Genetics (clinical) (Q1),2020
Nature Structural and Molecular Biology,"15459993, 15459985",Q1,Molecular Biology (Q1); Structural Biology (Q1),2020
Annual Review of Pathology: Mechanisms of Disease,"15534006, 15534014",Q1,Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1),2020
Clinical Microbiology Reviews,"08938512, 10986618",Q1,"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)",2020
Progress in Materials Science,"18732208, 00796425",Q1,Materials Science (miscellaneous) (Q1),2020
Nature Physics,17452473,Q1,Physics and Astronomy (miscellaneous) (Q1),2020
Annual Review of Biophysics,"19361238, 1936122X",Q1,Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1),2020
Nature Immunology,"15292908, 15292916",Q1,Immunology (Q1); Immunology and Allergy (Q1),2020
"Lancet Respiratory Medicine,The","22132619, 22132600",Q1,Pulmonary and Respiratory Medicine (Q1),2020
Genome Biology,14747596,Q1,"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)",2020
Nucleic Acids Research,"03051048, 13624962",Q1,Genetics (Q1),2020
Review of Economics and Statistics,"00346535, 15309142",Q1,Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1),2020
Journal of Consumer Research,"00935301, 15375277",Q1,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1),2020
Cell Stem Cell,"19345909, 18759777",Q1,Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1),2020
NCHS data brief,"19414927, 19414935",Q1,Medicine (miscellaneous) (Q1),2020
JAMA Oncology,"23742445, 23742437",Q1,Cancer Research (Q1); Oncology (Q1),2020
Science immunology,24709468,Q1,Immunology (Q1); Immunology and Allergy (Q1),2020
Nature Reviews Gastroenterology and Hepatology,"17595045, 17595053",Q1,Gastroenterology (Q1); Hepatology (Q1),2020
Trends in Cell Biology,"09628924, 18793088",Q1,Cell Biology (Q1),2020
ACS Energy Letters,23808195,Q1,"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)",2020
"Lancet Diabetes and Endocrinology,The","22138595, 22138587",Q1,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)",2020
Journal of the American Mathematical Society,"10886834, 08940347",Q1,Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1),2020
Molecular Systems Biology,17444292,Q1,"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)",2020
Journal of Experimental Medicine,"00221007, 15409538",Q1,Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1),2020
Accounts of Chemical Research,"00014842, 15204898",Q1,Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1),2020
Academy of Management Review,03637425,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)",2020
Gut,"14683288, 00175749",Q1,Gastroenterology (Q1),2020
Materials Science and Engineering: R: Reports,0927796X,Q1,Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),2020
Annual Review of Condensed Matter Physics,"19475454, 19475462",Q1,Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1),2020
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,"16181913, 00738301",Q1,Mathematics (miscellaneous) (Q1),2020
Annual Review of Clinical Psychology,"15485951, 15485943",Q1,Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1),2020
Journal of Labor Economics,"0734306X, 15375307",Q1,Economics and Econometrics (Q1); Industrial Relations (Q1),2020
Pharmacological Reviews,"15210081, 00316997",Q1,Molecular Medicine (Q1); Pharmacology (Q1),2020
Progress in Energy and Combustion Science,03601285,Q1,Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1),2020
Reviews of Geophysics,"19449208, 87551209",Q1,Geophysics (Q1),2020
Materials Today,"13697021, 18734103",Q1,Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),2020
Annals of Mathematics,0003486X,Q1,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",2020
Morbidity and Mortality Weekly Report,"01492195, 1545861X",Q1,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)",2020
Cell Host and Microbe,"19346069, 19313128",Q1,Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1),2020
"Lancet Global Health,The",2214109X,Q1,Medicine (miscellaneous) (Q1),2020
Annals of Oncology,"15698041, 09237534",Q1,Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),2020
Physical Review X,21603308,Q1,Physics and Astronomy (miscellaneous) (Q1),2020
American Economic Journal: Economic Policy,"19457731, 1945774X",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1)",2020
"Annual Review of Ecology, Evolution, and Systematics",1543592X,Q1,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",2020
Gastroenterology,"15280012, 00165085",Q1,Gastroenterology (Q1); Hepatology (Q1),2020
Annual Review of Microbiology,"00664227, 15453251",Q1,Medicine (miscellaneous) (Q1); Microbiology (Q1),2020
Journal of Marketing,"15477185, 00222429",Q1,Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1),2020
Circulation,"00097322, 15244539",Q1,Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1),2020
Journal of the European Economic Association,"15424774, 15424766",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1)",2020
Fungal Diversity,"15602745, 18789129",Q1,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)",2020
Nature Reviews Endocrinology,"17595037, 17595029",Q1,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)",2020
Cell Systems,"24054720, 24054712",Q1,Cell Biology (Q1); Histology (Q1); Pathology and Forensic Medicine (Q1),2020
Journal of Statistical Software,15487660,Q1,"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",2020
JAMA Psychiatry,"21686238, 2168622X",Q1,Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1),2020
Reports on Progress in Physics,"13616633, 00344885",Q1,Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),2020
Journal of Management,"01492063, 15571211",Q1,Finance (Q1); Strategy and Management (Q1),2020
EMBO Journal,"02614189, 14602075",Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)",2020
"Lancet Infectious Diseases, The","14744457, 14733099",Q1,Infectious Diseases (Q1),2020
Nature Protocols,17542189,Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",2020
"Lancet Psychiatry,The","22150374, 22150366",Q1,Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1),2020
Cell Research,"17487838, 10010602",Q1,Cell Biology (Q1); Molecular Biology (Q1),2020
Manufacturing and Service Operations Management,"15265498, 15234614",Q1,Management Science and Operations Research (Q1); Strategy and Management (Q1),2020
Nature Microbiology,20585276,Q1,Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1),2020
Molecular Cancer,14764598,Q1,Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1),2020
Nature Reviews Neurology,"17594766, 17594758",Q1,Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1),2020
"Lancet Public Health, The",24682667,Q1,"Public Health, Environmental and Occupational Health (Q1)",2020
Progress in Retinal and Eye Research,"13509462, 18731635",Q1,Ophthalmology (Q1); Sensory Systems (Q1),2020
Acta Neuropathologica,"00016322, 14320533",Q1,Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1),2020
Annual Review of Economics,"19411383, 19411391",Q1,Economics and Econometrics (Q1),2020
Progress in Particle and Nuclear Physics,01466410,Q1,Nuclear and High Energy Physics (Q1),2020
Genes and Development,"15495477, 08909369",Q1,Developmental Biology (Q1); Genetics (Q1),2020
Brookings Papers on Economic Activity,"00072303, 15334465",Q1,"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)",2020
Systematic Biology,"1076836X, 10635157",Q1,"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)",2020
Journal of the American Chemical Society,"15205126, 00027863",Q1,Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1),2020
Journal of Hepatology,"16000641, 01688278",Q1,Hepatology (Q1),2020
Journal of Business Venturing,08839026,Q1,Business and International Management (Q1); Management of Technology and Innovation (Q1),2020
Chem,"24519308, 24519294",Q1,Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1),2020
Psychological Methods,"1082989X, 19391463",Q1,History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1),2020
Organization Science,"15265455, 10477039",Q1,Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),2020
Physics Reports,03701573,Q1,Physics and Astronomy (miscellaneous) (Q1),2020
Living Reviews in Solar Physics,"16144961, 23673648",Q1,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),2020
Trends in Cognitive Sciences,"1879307X, 13646613",Q1,Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1),2020
Ecology Letters,"1461023X, 14610248",Q1,"Ecology, Evolution, Behavior and Systematics (Q1)",2020
Annual Review of Fluid Mechanics,"15454479, 00664189",Q1,Condensed Matter Physics (Q1),2020
Immunological Reviews,"01052896, 1600065X",Q1,Immunology (Q1); Immunology and Allergy (Q1),2020
Science Translational Medicine,"19466234, 19466242",Q1,Medicine (miscellaneous) (Q1),2020
Cancer Discovery,"21598274, 21598290",Q1,Oncology (Q1),2020
Journal of Accounting Research,"1475679X, 00218456",Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),2020
Nature Climate Change,"17586798, 1758678X",Q1,Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1),2020
Alzheimer's and Dementia,"15525279, 15525260",Q1,Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1),2020
American Journal of Human Genetics,"15376605, 00029297",Q1,Genetics (Q1); Genetics (clinical) (Q1),2020
Advances in Optics and Photonics,19438206,Q1,"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)",2020
Molecular Biology and Evolution,"15371719, 07374038",Q1,"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)",2020
Diabetes Care,"19355548, 01495992",Q1,"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)",2020
Journal of Accounting and Economics,01654101,Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),2020
IEEE Communications Surveys and Tutorials,1553877X,Q1,Electrical and Electronic Engineering (Q1),2020
Journal of the Royal Statistical Society. Series B: Statistical Methodology,"14679868, 13697412",Q1,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",2020
Journal of Applied Psychology,"19391854, 00219010",Q1,Applied Psychology (Q1),2020
Trends in Ecology and Evolution,"01695347, 18728383",Q1,"Ecology, Evolution, Behavior and Systematics (Q1)",2020
Nature Chemical Biology,"15524469, 15524450",Q1,Cell Biology (Q1); Molecular Biology (Q1),2020
Microbiology and Molecular Biology Reviews,"10985557, 10922172",Q1,Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1); Molecular Biology (Q1),2020
Endocrine Reviews,"19457189, 0163769X",Q1,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)",2020
Trends in Immunology,"14714906, 14714981",Q1,Immunology (Q1); Immunology and Allergy (Q1),2020
American Journal of Political Science,"00925853, 15405907",Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),2020
Annals of the Rheumatic Diseases,"00034967, 14682060",Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)",2020
Journal of Marketing Research,"00222437, 15477193",Q1,Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1),2020
Trends in Biochemical Sciences,"13624326, 09680004",Q1,Biochemistry (Q1); Molecular Biology (Q1),2020
Journal of Clinical Investigation,"00219738, 15588238",Q1,Medicine (miscellaneous) (Q1),2020
American Sociological Review,"00031224, 19398271",Q1,Sociology and Political Science (Q1),2020
American Journal of Respiratory and Critical Care Medicine,"1073449X, 15354970",Q1,Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1),2020
Cell Reports,22111247,Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",2020
Annual Review of Public Health,"01637525, 15452093",Q1,"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)",2020
Analytic Methods in Accident Research,22136657,Q1,Safety Research (Q1); Transportation (Q1),2020
Annual Review of Phytopathology,"00664286, 15452107",Q1,Medicine (miscellaneous) (Q1); Plant Science (Q1),2020
Studies in Mycology,01660616,Q1,Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1),2020
JACC: Heart Failure,"22131787, 22131779",Q1,Cardiology and Cardiovascular Medicine (Q1),2020
JAMA Cardiology,"23806583, 23806591",Q1,Cardiology and Cardiovascular Medicine (Q1),2020
Light: Science and Applications,20477538,Q1,"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)",2020
Personnel Psychology,"00315826, 17446570",Q1,Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1),2020
Advanced Functional Materials,1616301X,Q1,"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)",2020
Annual Review of Medicine,"1545326X, 00664219",Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)",2020
Cold Spring Harbor perspectives in biology,19430264,Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",2020
Review of Educational Research,"00346543, 19351046",Q1,Education (Q1),2020
Nature Biomedical Engineering,2157846X,Q1,Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1),2020
Progress in Polymer Science,00796700,Q1,Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1),2020
Journal of Extracellular Vesicles,20013078,Q1,Cell Biology (Q1); Histology (Q1),2020
Marketing Science,"07322399, 1526548X",Q1,Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1),2020
Science advances,23752548,Q1,Multidisciplinary (Q1),2020
FEMS Microbiology Reviews,"01686445, 15746976",Q1,Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1),2020
Organizational Research Methods,"15527425, 10944281",Q1,Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1),2020
Annual Review of Marine Science,"19410611, 19411405",Q1,Oceanography (Q1),2020
eLife,2050084X,Q1,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)",2020
American Political Science Review,"15375943, 00030554",Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),2020
Annals of Statistics,00905364,Q1,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",2020
Educational Psychologist,"15326985, 00461520",Q1,Developmental and Educational Psychology (Q1),2020
Journal of Human Resources,"15488004, 0022166X",Q1,Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),2020
Angewandte Chemie - International Edition,"14337851, 15213773",Q1,Catalysis (Q1); Chemistry (miscellaneous) (Q1),2020
Nature Ecology and Evolution,2397334X,Q1,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",2020
Journal of the National Cancer Institute,"14602105, 00278874",Q1,Cancer Research (Q1); Oncology (Q1),2020
JACC: Cardiovascular Imaging,"1936878X, 18767591",Q1,"Cardiology and Cardiovascular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1)",2020
Nano Energy,22112855,Q1,"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)",2020
Trends in Genetics,"01689525, 13624555",Q1,Genetics (Q1),2020
Accounting Review,"00014826, 15587967",Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),2020
