Presents the task to solve,Presents the state-of-the-art approaches,Describes the available data,Describes the model inputs/ outputs,Describes the model,Presents data preprocessing,Presents data division,Presents data distribution,Presents hyperparameter tuning,Uses the correct metrics for evaluation,Describes the experiments performed,Describes the testing environment,Describes the used hyperparameters,Uses real-world datasets,Uses open datasets,Uses multiple datasets,Compares with state-of-the-art models,Critically analyzes production applicability,Publishes the used dataset,Publishes the trained model,Publishes the code,Publish the seeds used
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,Partial,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Partial,No,No,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No
Yes,Yes,Partial,Yes,Yes,NA,NA,Partial,Partial,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Yes,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes,NA,No,Partial,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,No,No,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,No,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes,NA,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,Partial,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,Partial,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,No,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Partial,No,No,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Partial,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
Yes,Yes,Partial,Yes,Yes,NA,NA,No,No,Yes,Yes,No,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Partial,No,Yes,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Partial,Partial,No,No,No,No,Yes,Yes,Partial,Partial,Yes,Yes,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Partial,Yes,No,No,No,No,Yes,Yes,No,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,Yes,No,Partial,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Partial,Yes,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Partial,Yes,NA,NA,No,Partial,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,Yes
Yes,Yes,Partial,Yes,Yes,Yes,Yes,Partial,Partial,Yes,Yes,No,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Partial,Yes,NA,NA,Yes,No,Yes,Yes,Partial,No,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Partial,Yes,NA,NA,Partial,No,Yes,Yes,No,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,No,No,No
Yes,Yes,No,Partial,Partial,No,No,No,No,Yes,Partial,Partial,No,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,Yes,No
Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Partial,Yes,Yes,No,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,Partial,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Partial,Yes,NA,NA,No,No,Yes,Yes,No,Partial,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Partial,Yes,NA,NA,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Partial,Yes,No,No,Yes,Yes,Partial,Partial,Yes,Yes,Yes,Yes,No,No,No,No,No
Yes,Partial,No,Partial,Yes,No,No,No,No,Yes,Yes,Partial,No,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Partial,Yes,Yes,Partial,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Yes,Yes,No,Partial,Yes,NA,NA,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Partial,Yes,NA,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Partial,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Yes,Yes,Yes,Yes,Partial,No,No,No,Yes,No,NA,No,No,No
Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Partial,Yes,Yes,Yes,No,Yes,No,No,No,No
Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,No,Yes,Yes,No,Partial,Yes,Yes,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Partial,No,Yes,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Yes,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Partial,No,No,No,No,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,NA,Yes,No,Partial,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,Yes,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,Yes,Partial,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,Yes,Yes,Partial,Yes,Yes,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Partial,No,Yes,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,NA,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Partial,NA,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,Yes,Yes,Partial,Yes,Yes,Yes,No,Yes,Partial,NA,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Partial,Yes,Yes,Partial,Yes,Yes,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Partial,Yes,Yes,Partial,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes,NA,No,Partial,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,No,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,Yes,No,Yes,Yes,Partial,Yes,No,No,No,Yes,Partial,NA,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Partial,Yes,Yes,Yes,Yes,Partial,Partial,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,No,NA,No,Partial,Yes,Yes,Yes,Partial,No,No,No,Yes,Partial,NA,No,No,No
Yes,Yes,No,Partial,Yes,Yes,NA,No,No,Yes,Yes,Partial,Partial,No,No,No,Yes,Partial,No,No,No,No
Yes,Yes,Partial,Yes,Yes,Yes,NA,Partial,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Partial,No,No,No,Yes,No,NA,No,No,No
Yes,Yes,No,Yes,Yes,NA,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,NA,No,No,No
Yes,Yes,No,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,NA,No,No,No
Yes,Yes,Yes,Yes,Yes,No,NA,No,No,Yes,Yes,Yes,Partial,Yes,Yes,No,Yes,No,NA,NA,No,No
Yes,Yes,No,Yes,Yes,NA,NA,Yes,No,Yes,Yes,Yes,Partial,No,No,No,Yes,Yes,NA,No,No,No
